latitude,longitude,business_subcategory,road_distance,highway_distance,hospital_distance,school_distance,bank_distance,restaurant_distance,pharmacy_distance,bus_stop_distance,railway_distance,water_distance,population_value,population_category,landuse,flood_risk,competitors_250,competitors_500,competitors_1000,competition_pressure,restaurant_score
23.116925,72.324506,fast_food,634.23,4457.52,16676.85,8914.98,16627.79,17128.68,18607.56,16049.49,18304.47,15215.96,-99999.0,Low,Commercial,Low,0,0,0,0.0,58.0
22.942014,72.439462,cafe,262.07,1539.4,6065.86,1142.48,7455.68,8621.22,8867.76,9871.38,3237.19,4097.27,-99999.0,Low,Industrial,Low,0,0,0,0.0,55.5
23.163506,72.702486,coffee,42.21,180.85,1999.43,174.0,8115.41,3515.9,13107.18,10700.68,3141.84,2583.33,-99999.0,Low,Grass,Low,0,0,1,0.25,57.0
23.238246,72.360425,pizza,42.34,624.37,19552.08,8320.18,22406.76,21478.45,23046.28,24781.82,19304.41,5553.21,-99999.0,Low,Commercial,Low,0,0,0,0.0,63.0
23.012522,72.327282,burger,229.98,671.8,13746.48,7596.47,13050.04,14095.22,14668.64,12762.12,15370.93,13579.32,-99999.0,Low,Commercial,Low,0,0,0,0.0,63.0
22.914946,72.603106,sandwich,92.85,613.23,4372.62,549.73,6064.27,7059.18,13564.95,9313.11,4775.24,4369.42,6.69,Low,Commercial,Low,0,0,0,0.0,70.0
22.822737,72.425326,gujarati,330.95,365.43,18843.64,8704.77,20727.3,21816.35,21990.3,23141.01,15612.43,16241.84,4.84,Low,Commercial,Low,0,0,0,0.0,74.0
23.121945,72.626066,punjabi,50.32,452.55,1324.74,114.4,4881.73,588.13,5679.75,5558.46,3919.75,291.82,-99999.0,Low,Residential,Low,0,0,1,0.25,71.0
22.915811,72.651774,south_indian,204.92,1825.59,4847.96,1443.22,5515.94,7523.31,14700.2,9424.58,3770.97,4124.08,5.11,Low,Commercial,Low,0,0,0,0.0,66.0
23.198527,72.313769,chinese,109.24,4370.84,21281.59,10208.92,23667.39,21871.06,25739.51,23277.51,22982.28,11625.96,-99999.0,Low,Commercial,Low,0,0,0,0.0,66.0
23.196793,72.714921,fine_dining,48.57,217.18,2276.88,3876.73,8511.94,6459.4,14479.26,14577.35,5153.42,3755.71,-99999.0,Low,Commercial,Low,0,0,0,0.0,78.0
22.97332,72.400178,dessert,142.4,876.25,7644.0,1092.32,6753.41,8146.37,8651.65,8156.29,6882.87,6839.12,5.87,Low,Commercial,Low,0,0,0,0.0,70.0
23.269462,72.505225,bakery,263.59,344.24,12561.23,10818.05,11458.14,11456.11,12562.9,19674.81,10732.33,7385.32,-99999.0,Low,Commercial,Low,0,0,0,0.0,74.0
22.854518,72.366095,street_food,41.85,41.85,18336.19,7912.19,19256.97,20576.39,20917.06,21327.84,15395.7,16222.57,47.96,Low,Commercial,Low,0,0,0,0.0,90.0
23.216797,72.660161,fast_food,23.25,913.7,3475.36,4480.67,3665.27,3596.31,9778.72,15378.27,6842.58,1334.12,-99999.0,Low,Residential,Low,0,0,0,0.0,60.0
23.197422,72.733244,cafe,226.06,1584.63,2588.3,2688.98,10388.57,7971.92,16345.03,15511.59,4963.51,5324.86,-99999.0,Low,Commercial,Low,0,0,0,0.0,65.5
23.067389,72.874407,coffee,257.96,5460.49,16746.19,13648.47,23114.44,19646.81,24414.86,22430.78,17480.06,5757.88,-99999.0,Low,Commercial,Low,0,0,0,0.0,65.5
22.991697,72.630184,pizza,28.93,139.01,216.06,116.49,1905.47,229.21,6258.19,771.25,1464.7,55.05,137.0,High,Residential,High,1,1,2,1.25,78.78
23.208114,72.668741,burger,351.56,351.56,3536.6,3755.11,3991.63,3900.29,10197.31,14573.83,6143.01,38.4,-99999.0,Low,Forest,High,0,0,0,0.0,49.5
23.223619,72.644864,sandwich,43.38,2342.05,3496.09,5030.09,3277.35,3254.93,8842.07,15230.52,7493.81,2585.55,-99999.0,Low,Residential,Low,0,0,0,0.0,63.0
23.148194,72.336578,gujarati,1296.34,4148.19,17443.52,6722.55,17930.63,17043.13,19990.24,17478.71,18891.28,13641.47,-99999.0,Low,Commercial,Low,0,0,0,0.0,66.0
22.919391,72.477845,punjabi,220.14,853.94,7231.96,1126.87,10092.7,10144.43,10821.53,11641.88,4536.99,4526.67,-99999.0,Low,Commercial,Low,0,0,0,0.0,70.0
22.8483,72.445019,south_indian,191.91,621.47,15628.49,6108.36,17705.1,18598.37,18848.1,19958.17,12406.39,12790.09,2.24,Low,Commercial,Low,0,0,0,0.0,70.0
22.858481,72.471225,chinese,160.35,1614.41,13915.97,5362.98,16640.28,16371.1,17541.86,17752.07,11117.33,10508.14,-99999.0,Low,Commercial,Low,0,0,0,0.0,66.0
23.115129,72.521603,fine_dining,138.18,1370.75,1156.7,405.52,2710.66,2028.36,3429.87,5183.49,3729.84,768.7,5.15,Low,Residential,Low,0,0,1,0.25,63.0
22.987687,72.431514,dessert,242.89,297.53,4277.25,1374.13,3243.29,4644.22,5116.8,5121.23,4728.94,3271.48,4.73,Low,Residential,Low,0,0,0,0.0,75.0
22.938149,72.85326,bakery,93.63,5383.0,15793.78,12992.57,22788.66,20213.65,25272.75,24222.58,19943.49,13178.84,-99999.0,Low,Commercial,Low,0,0,0,0.0,66.0
23.121057,72.663296,street_food,20.53,725.95,2148.52,500.77,4380.34,1391.1,8544.01,4929.51,2645.87,603.47,-99999.0,Low,Residential,Low,0,0,0,0.0,67.0
22.892147,72.732894,fast_food,940.01,1149.68,12926.18,5635.75,12893.87,13264.17,19844.36,16014.04,11677.95,9931.39,-99999.0,Low,Commercial,Low,0,0,0,0.0,58.0
22.888433,72.530084,cafe,125.05,1296.76,10411.74,1893.47,12840.19,11068.86,14267.09,12734.47,10230.55,4749.09,-99999.0,Low,Commercial,Low,0,0,0,0.0,65.5
23.284971,72.6812,coffee,47.99,3592.27,11124.93,12295.66,11017.76,10988.45,16197.45,22976.99,14678.98,1987.4,-99999.0,Low,Commercial,Low,0,0,0,0.0,65.5
23.077336,72.707076,pizza,130.24,1921.2,4702.1,1155.28,5935.48,2628.01,7877.03,5254.81,4407.97,1183.19,7.6,Low,Residential,Low,0,0,0,0.0,55.0
23.214569,72.76008,burger,324.29,1005.68,4304.7,4350.25,13285.12,11312.28,19392.15,18601.53,7481.26,7382.89,-99999.0,Low,Commercial,Low,0,0,0,0.0,58.0
22.919943,72.328618,sandwich,90.47,3416.61,16593.74,9787.39,16170.88,17568.52,18063.19,17485.72,14675.43,15266.77,7.16,Low,Commercial,Low,0,0,0,0.0,66.0
22.961417,72.46529,gujarati,205.35,796.77,2941.37,952.48,5265.71,6075.3,6158.14,7254.73,251.83,743.21,4.5,Low,Industrial,Low,0,0,1,0.25,64.0
22.911272,72.856888,punjabi,808.73,7055.59,17825.24,14686.84,23690.45,21660.06,27141.12,25540.53,21428.93,14859.41,-99999.0,Low,Commercial,Low,0,0,0,0.0,66.0
23.230656,72.492513,south_indian,5.13,701.19,10394.46,7456.6,9555.54,9540.55,10392.98,16292.91,7474.9,3464.44,-99999.0,Low,Commercial,Low,0,0,0,0.0,70.0
23.124611,72.539467,chinese,2.1,11.68,1222.59,36.69,608.8,635.66,4117.96,4004.44,1654.71,101.89,53.16,Medium,Residential,Low,0,0,0,0.0,87.0
23.248983,72.576134,fine_dining,120.34,1318.18,7324.55,7971.32,6842.43,6810.9,8045.3,16254.68,7401.46,7035.66,-99999.0,Low,Commercial,Low,0,0,0,0.0,66.0
22.937142,72.453044,dessert,85.58,113.2,5892.43,473.59,7837.08,8845.03,9001.11,10153.42,2700.97,3472.56,62.58,Medium,Industrial,Low,0,0,0,0.0,80.0
23.079457,72.46239,bakery,8.31,2759.7,3832.69,1314.1,4920.38,2666.09,6987.08,5038.2,4075.61,1335.84,-99999.0,Low,Residential,Low,0,0,0,0.0,63.0
23.090601,72.830737,street_food,69.34,5396.35,12924.11,8735.57,18583.46,15045.75,20398.74,17990.09,12327.74,761.98,-99999.0,Low,Commercial,Low,0,0,0,0.0,66.0
23.001712,72.437206,fast_food,70.73,1836.32,3713.25,647.83,1892.68,3243.43,3777.7,3461.98,5550.86,2593.14,6.96,Low,Residential,Low,0,0,0,0.0,55.0
23.288818,72.605525,cafe,271.61,1673.56,10701.69,12371.29,10402.39,10426.1,12837.06,20961.04,12435.78,8201.89,-99999.0,Low,Commercial,Low,0,0,0,0.0,65.5
22.853637,72.337327,coffee,348.32,975.55,20317.16,10376.0,20890.24,22256.21,22646.51,22767.65,17555.5,18404.99,-99999.0,Low,Commercial,Low,0,0,0,0.0,68.5
22.862632,72.673919,pizza,896.48,2129.72,11077.7,6240.08,11830.17,13822.23,20858.18,15725.62,10073.39,10417.81,-99999.0,Low,Commercial,Low,0,0,0,0.0,58.0
