latitude,longitude,road_distance,highway_distance,hospital_distance,school_distance,bank_distance,restaurant_distance,pharmacy_distance,bus_stop_distance,railway_distance,water_distance,population_value,population_category,landuse,flood_risk,competitors_250_restaurant,competitors_500_restaurant,competitors_1000_restaurant,competitors_250_retail,competitors_500_retail,competitors_1000_retail,competitors_250_office,competitors_500_office,competitors_1000_office,competitors_250_clinic,competitors_500_clinic,competitors_1000_clinic,competitors_250,competitors_500,competitors_1000,restaurant_score,retail_score,office_score,clinic_score
22.967312,72.215006,504.33,729.21,51306.5,51512.74,49083.39,51460.84,52588.59,49370.67,50567.64,50210.46,-99999.0,Low,Unknown,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0,44.5,36.25,51.0
22.530035,72.333926,1511.32,4996.12,104065.67,99973.19,107511.03,109631.63,110188.51,112140.51,97697.32,97252.31,-99999.0,Low,Unknown,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,38.5,31.25,47.0
23.083765,72.60602,113.8,1330.77,2840.9,2812.58,3055.39,3396.01,4496.57,6852.98,4154.71,914.52,7.89,Low,Unknown,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,56.5,48.5,58.55
23.270615,72.252163,1883.98,8433.48,59968.52,55194.26,66214.52,62234.11,67962.86,65556.48,60597.86,32618.95,-99999.0,Low,Unknown,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,38.5,31.25,47.0
22.706306,72.217878,812.58,4785.01,80224.63,77462.83,81436.36,84137.24,84914.07,84991.61,74546.11,76183.83,4.47,Low,Unknown,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,44.5,36.25,51.0
22.462366,72.503213,616.99,8734.54,110340.78,110795.67,113161.47,114694.63,121946.56,119006.33,109331.26,103242.31,-99999.0,Low,Unknown,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,44.5,36.25,51.0
22.231843,72.319303,10113.36,24312.59,168886.23,164673.83,172754.3,172619.92,175241.61,175756.95,162591.58,160194.9,-99999.0,Low,Unknown,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,38.5,31.25,47.0
22.979861,72.526965,327.9,2930.47,2919.31,8001.15,7325.76,3493.74,8192.43,6439.43,831.42,732.1,6.39,Low,Unknown,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,50.5,52.37,54.77
22.464529,72.553559,1895.35,7217.01,108195.75,111322.47,110789.99,113439.37,121588.33,118120.23,107369.59,102611.49,-99999.0,Low,Unknown,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,38.5,31.25,47.0
23.171317,72.203899,1900.76,3208.19,59598.7,52547.31,59404.17,60094.87,63205.57,58184.27,62841.48,45198.35,-99999.0,Low,Unknown,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,38.5,31.25,47.0
23.166983,72.618884,478.24,3508.15,1282.17,2095.02,6233.1,4389.32,9024.18,16644.93,6363.75,749.77,-99999.0,Low,Unknown,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,50.5,41.25,50.09
22.608301,72.293288,1055.75,6720.04,90575.31,86845.18,93343.05,95797.08,96331.81,97697.25,84299.24,85717.16,-99999.0,Low,Unknown,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,38.5,31.25,47.0
23.348656,72.401957,1805.82,2938.92,51076.1,48338.22,49062.25,49049.98,51076.86,63302.9,46035.61,21636.39,-99999.0,Low,Unknown,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,38.5,31.25,47.0
22.311295,72.25803,3252.85,5070.38,154670.24,150604.07,158006.0,160208.05,160749.03,162571.1,148305.33,147653.61,-99999.0,Low,Unknown,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,38.5,31.25,47.0
23.216993,72.562236,515.07,4905.09,9219.78,5362.57,6833.29,6836.8,9228.44,25034.59,7435.26,7643.34,-99999.0,Low,Unknown,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,44.5,36.25,51.0
23.168554,72.637839,88.89,230.11,2035.75,1921.29,6239.43,3821.52,12726.19,19159.74,3429.6,2987.59,-99999.0,Low,Residential,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.5,67.0,60.44,65.25
22.843474,72.783869,1293.09,3738.74,39287.82,47234.05,40370.45,40971.0,53872.38,46646.61,37765.47,32126.81,-99999.0,Low,Unknown,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,38.5,31.25,47.0
22.654241,72.531224,584.43,962.78,67773.84,69238.75,70764.82,71985.21,79611.04,76420.19,67548.35,60696.48,-99999.0,Low,Unknown,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0,44.5,36.25,51.0
23.195286,72.571112,1496.37,2872.13,4195.73,1926.21,1791.84,1785.03,4205.73,20258.6,2942.76,2660.25,-99999.0,Low,Unknown,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,44.3,36.74,47.0
