tags,visible,lon,lat,version,timestamp,id,changeset,depot,industrial,landuse,military,residential,osm_type,basin,construction,farmyard,grass,port,railway
"{""visible"":false,""name"":""Anand Party Plot""}",,,,1,1407778276,297224085,,,,commercial,,,way,,,,,,
"{""visible"":false,""addr:city"":""Ahmedabad"",""addr:postcode"":""380006"",""addr:street"":""Ashram Road"",""emergency"":""yes"",""healthcare"":""hospital"",""name"":""Vadilal Sarabhai Hospital"",""operator"":""Ahmedabad Municipal Corporation"",""phone"":""+91 79 2657 7621""}",,,,5,1745988122,317356791,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1419250813,318359723,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1419250813,318359724,,,,commercial,,,way,,,,,,
"{""visible"":false,""amenity"":""studio"",""name"":""Doordarshan Kendra"",""operator"":""Doordarshan India"",""studio"":""video""}",,,,3,1552672882,323433734,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1422445372,324985343,,,,commercial,,,way,,,,,,
"{""visible"":false,""addr:city"":""Ahmeabad"",""addr:district"":""AHMEDABAD"",""addr:housenumber"":""202"",""addr:postcode"":""380006"",""addr:street"":""Medicine Market (Dava Bazar)"",""email"":""nemi.designing@gmail.com"",""mobile"":""+91-9408361612"",""name"":""Nemi designign center"",""website"":""https://www.nemidesigning.in""}",,,,3,1783676141,324985612,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1422445516,324985613,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1422451592,325004236,,,,commercial,,,way,,,,,,
"{""visible"":false,""name"":""GSRTC Bus Workshop""}",,,,2,1478519403,326971217,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,2,1423464216,327198794,,,,commercial,,,way,,,,,,
"{""visible"":false,""addr:district"":""Ahmedabad"",""addr:full"":""D block, Office of the Medical Superintendent Civil Hospital,Asarwa"",""addr:postcode"":""380016"",""addr:state"":""Gujarat"",""contact:mobile"":""9978405057"",""email"":""info@civilhospitalamdavad.org"",""healthcare"":""hospital"",""name"":""Civil Hospital"",""operator"":""Civil Hospital Trust"",""operator:type"":""government"",""source"":""OpenGovernmentData"",""website"":""http://civilhospitalamdavad.org/page_id=217"",""wikidata"":""Q1894886"",""wikipedia"":""en:Ahmedabad Civil Hospital""}",,,,5,1696879081,327204068,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,2,1423663081,327565353,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1423663328,327581609,,,,commercial,,,way,,,,,,
"{""visible"":false,""name"":""Gujarat University Convention Centre"",""operator"":""Gujarat Government""}",,,,2,1427194677,328553270,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1424168759,328730021,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,2,1424177064,328739032,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,3,1425304766,328749927,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1424177371,328750904,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1424177453,328752064,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1424177570,328752828,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1424177918,328753562,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1424177985,328753743,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1424178088,328753886,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1424178123,328754010,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1425306125,330925992,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,4,1721397024,330929837,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1425308312,330930090,,,,commercial,,,way,,,,,,
"{""visible"":false,""name"":""Shapath IV""}",,,,1,1425728083,331652566,,,,commercial,,,way,,,,,,
"{""visible"":false,""name"":""Shapath V""}",,,,2,1425728511,331652567,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,2,1717577644,331652579,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1426076418,332255635,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1426077997,332258106,,,,commercial,,,way,,,,,,
"{""visible"":false,""name"":""Revdi Bazar""}",,,,2,1478508415,332260177,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1426079130,332260179,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1426079130,332260181,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1426079131,332260182,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1426079131,332260184,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1426080338,332262410,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1426080385,332262593,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1426080419,332262932,,,,commercial,,,way,,,,,,
"{""visible"":false,""name"":""New Cloth Market""}",,,,3,1723191786,332263299,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1426851658,333812705,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,2,1426852706,333814276,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,3,1692872611,333814575,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,2,1505901213,333818644,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1426853316,333818761,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1426853583,333819590,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,2,1723125099,333820728,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,2,1723038104,333820923,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1426853864,333821051,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,3,1723038104,333822651,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1426855096,333826291,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1427445910,334984505,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1427448437,334990699,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1427456445,335010191,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,2,1731700189,335568442,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1427721088,335569909,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1427721407,335570668,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1428060633,336335957,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,2,1721380330,336336994,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1428061532,336340488,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1428061532,336340489,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1428061532,336340490,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,3,1628800876,336341057,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1428063677,336351623,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,3,1497182615,336353829,,,,commercial,,,way,,,,,,
"{""visible"":false,""name"":""Infocity""}",,,,5,1752996222,338847130,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1429285136,338983790,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1429618212,339731584,,,,commercial,,,way,,,,,,
"{""visible"":false,""name"":""Tata Consultancy Services""}",,,,7,1752996222,339747646,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,2,1734449794,366778908,,,,commercial,,,way,,,,,,
"{""visible"":false,""building"":""commercial"",""building:colour"":""lightgrey"",""building:levels"":""10"",""building:material"":""concrete;glass"",""name"":""Amrapali Lakeview"",""roof:material"":""concrete"",""roof:shape"":""flat""}",,,,3,1723543298,366820125,,,,commercial,,,way,,,,,,
"{""visible"":false,""name"":""Sangath""}",,,,2,1502981811,367203390,,,,commercial,,,way,,,,,,
"{""visible"":false,""building"":""residential"",""building:colour"":""beige"",""building:levels"":""4"",""building:material"":""plaster"",""name"":""ecomnext solutions pvt ltd"",""roof:material"":""concrete"",""roof:shape"":""flat""}",,,,3,1722862843,367380080,,,,commercial,,,way,,,,,,
"{""visible"":false,""name"":""La Foret French class""}",,,,2,1708837136,367748136,,,,commercial,,single_family,way,,,,,,
"{""visible"":false,""name"":""Mayuransh elanza""}",,,,5,1648846687,374077286,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,2,1722929804,374135946,,,,commercial,,,way,,,,,,
"{""visible"":false,""name"":""cng pump""}",,,,1,1444210336,374254697,,,,commercial,,,way,,,,,,
"{""visible"":false,""addr:city"":""Ahmedabad"",""addr:postcode"":""380013"",""addr:street"":""Sabarmati Riverfront Walkway, Usmanpura"",""name"":""Paritosh""}",,,,1,1448000812,381421316,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,3,1746696130,386478182,,,,commercial,,,way,,,,,,
"{""visible"":false,""name"":""Kuber nagar Main bazar""}",,,,2,1482433756,452009808,,,,commercial,,,way,,,,,,
"{""visible"":false,""addr:city"":""Ahmedabad, Prahladnagar"",""addr:postcode"":""380015"",""addr:street"":""Service road - Sarkhej Gandhinagar Highway"",""building:levels"":""10"",""name"":""Mondeal Square"",""smoking"":""outside""}",,,,3,1717577644,473553670,,,,commercial,,,way,,,,,,
"{""visible"":false,""name"":""Sobo Centre""}",,,,1,1488728078,478644005,,,,commercial,,,way,,,,,,
"{""visible"":false,""addr:city"":""Ahmedabad"",""addr:housenumber"":""1"",""addr:postcode"":""380009"",""addr:street"":""C.G. Road"",""building"":""commercial"",""building:colour"":""beige;white"",""building:levels"":""3"",""building:material"":""plaster"",""name"":""QnQ"",""roof:material"":""concrete"",""roof:shape"":""flat""}",,,,2,1721641157,487512850,,,,commercial,,,way,,,,,,
"{""visible"":false,""name"":""Tiitanium City Center Business Park""}",,,,2,1571023985,516097352,,,,commercial,,,way,,,,,,
"{""visible"":false,""name"":""sunrise park bunglows""}",,,,3,1723469158,529140019,,,,commercial,,rural,way,,,,,,
"{""visible"":false}",,,,1,1511193828,541908544,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,3,1746696130,544507539,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,3,1635191775,544537053,,,,commercial,,,way,,,,,,
"{""visible"":false,""name"":""Amba Business Park""}",,,,1,1524200841,581779447,,,,commercial,,,way,,,,,,
"{""visible"":false,""name"":""NICM""}",,,,3,1752996222,693884096,,,,commercial,,,way,,,,,,
"{""visible"":false,""name"":""Yash Icon""}",,,,1,1559378894,693886087,,,,commercial,,,way,,,,,,
"{""visible"":false,""name"":""Swaminarayan Dham International School""}",,,,1,1559380463,693889234,,,,commercial,,,way,,,,,,
"{""visible"":false,""name"":""Kanam Party Plot""}",,,,2,1732270655,693901595,,,,commercial,,,way,,,,,,
"{""visible"":false,""addr:city"":""Ahmedabad"",""addr:postcode"":""380051"",""addr:street"":""Corporate road Makarba"",""name"":""Palladium""}",,,,2,1749196249,707294831,,,,commercial,,,way,,,,,,
"{""visible"":false,""addr:city"":""Gandhinagar"",""addr:housenumber"":""Besides Gokuldham Apartments, Opp. Jay Yogeshwar Mall"",""addr:postcode"":""382421"",""addr:street"":""Koba - Gandhinagar Highway"",""description"":""Hrudhyam is first 70m height Commerical project at Gandhinagar falling on Ahmedabad Gandhinagar ubran corridor connecting Ahmedabad International Airport. Project offers  wide choice of shops, retail space, corporate offices, start up spaces, co-working s"",""email"":""desai.ncon@gmail.com"",""name"":""Hrudhyam Commercial - NCON INFRA"",""phone"":""9854505050"",""website"":""https://www.hrudhyam.in/""}",,,,2,1653384661,723316972,,,,commercial,,,way,,,,,,
"{""visible"":false,""building"":""yes"",""name"":""Vivan Square""}",,,,5,1731468692,745532921,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,2,1692281951,745992146,,,,commercial,,,way,,,,,,
"{""visible"":false,""name"":""Commercial AndMuseum SIte""}",,,,2,1712426704,769226504,,,,commercial,,,way,,,,,,
"{""visible"":false,""name"":""Ratnamani Towers""}",,,,1,1587249294,793320581,,,,commercial,,,way,,,,,,
"{""visible"":false,""building"":""yes"",""building:colour"":""white"",""building:levels"":""5"",""building:material"":""plaster"",""roof:material"":""concrete"",""roof:shape"":""flat""}",,,,2,1719914013,844263034,,,,commercial,,,way,,,,,,
"{""visible"":false,""height"":""7"",""layer"":""2"",""name"":""Site For CWHCA""}",,,,7,1723125099,859351172,,,,commercial,,,way,,,,,,
"{""visible"":false,""name"":""Turquoise 2""}",,,,1,1614663450,912628788,,,,commercial,,,way,,,,,,
"{""visible"":false,""alt_name"":""WTC-GIFT City"",""name"":""World Trade Centre-GIFT City""}",,,,1,1616675431,922077110,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1617291579,924843968,,,,commercial,,,way,,,,,,
"{""visible"":false,""name"":""Zydus Corporate Park""}",,,,1,1692652229,1200946286,,,,commercial,,,way,,,,,,
"{""visible"":false,""area"":""yes""}",,,,1,1721981216,1303841700,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1722260960,1304455461,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1722260960,1304455462,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1722260960,1304455478,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1722260960,1304455480,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1722260960,1304455481,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1722324482,1304593475,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1722324482,1304593480,,,,commercial,,,way,,,,,,
"{""visible"":false,""area"":""yes""}",,,,1,1722333486,1304616323,,,,commercial,,,way,,,,,,
"{""visible"":false}",,,,1,1722333486,1304616332,,,,commercial,,,way,,,,,,
