tags,visible,lon,lat,version,timestamp,id,changeset,depot,industrial,landuse,military,residential,osm_type,basin,construction,farmyard,grass,port,railway
"{""visible"":false,""name"":""Back Fields""}",,,,2,1286629307,80831917,,,,recreation_ground,,,way,,,,,,
"{""visible"":false,""name"":""LG Ground""}",,,,3,1423224094,245173457,,,,recreation_ground,,,way,,,,,,
"{""visible"":false,""name"":""Mukti Medan""}",,,,2,1415433489,245777093,,,,recreation_ground,,,way,,,,,,
"{""visible"":false}",,,,2,1427443539,325014563,,,,recreation_ground,,,way,,,,,,
"{""visible"":false}",,,,2,1427443539,325014564,,,,recreation_ground,,,way,,,,,,
"{""visible"":false,""name"":""GMDC Ground""}",,,,1,1424090478,328554535,,,,recreation_ground,,,way,,,,,,
"{""visible"":false}",,,,2,1641790759,368569081,,,,recreation_ground,,,way,,,,,,
"{""visible"":false}",,,,2,1640905714,487820090,,,,recreation_ground,,,way,,,,,,
"{""visible"":false}",,,,2,1640905714,487820096,,,,recreation_ground,,,way,,,,,,
"{""visible"":false,""name"":""EVENT GROUND, AMC""}",,,,4,1716804005,526398747,,,,recreation_ground,,,way,,,,,,
"{""visible"":false}",,,,1,1505975981,526399711,,,,recreation_ground,,,way,,,,,,
"{""visible"":false}",,,,1,1599135159,843927909,,,,recreation_ground,,,way,,,,,,
"{""visible"":false}",,,,3,1717152547,910947195,,,,recreation_ground,,,way,,,,,,
"{""visible"":false}",,,,1,1638586363,1009015704,,,,recreation_ground,,,way,,,,,,
"{""visible"":false,""name"":""Samadhi Mandir Ground"",""surface"":""paving_stones""}",,,,1,1693152600,1202571601,,,,recreation_ground,,,way,,,,,,
"{""visible"":false}",,,,1,1730107824,1328752893,,,,recreation_ground,,,way,,,,,,
"{""visible"":false}",,,,1,1730107824,1328752894,,,,recreation_ground,,,way,,,,,,
"{""visible"":false}",,,,1,1730107824,1328752895,,,,recreation_ground,,,way,,,,,,
