tags,visible,lon,lat,version,timestamp,id,changeset,depot,industrial,landuse,military,residential,osm_type,basin,construction,farmyard,grass,port,railway
"{""name"":""aarohi apartment""}",False,72.547834,23.042497,2,1716378776,4797415997,0.0,,,residential,,apartments,node,,,,,,
"{""addr:city"":""Ahmedabad"",""addr:housenumber"":""Aman Appartment"",""addr:postcode"":""380009"",""addr:street"":""St. Xavier's College Road"",""name"":""Aman Apartment""}",False,72.5540638,23.0352526,1,1605728738,8139020066,0.0,,,residential,,apartments,node,,,,,,
"{""addr:city"":""Ahmedabad"",""addr:housenumber"":""Triveni Vista,"",""addr:postcode"":""380009"",""addr:street"":""Opp. Trikonya garden, Gulbai Tekra Road"",""name"":""Triveni Vista"",""operator"":""Triveni Vista Owners Asso.""}",False,72.5496698,23.0259222,1,1605729374,8139093605,0.0,,,residential,,apartments,node,,,,,,
"{""addr:city"":""Ahmedabad"",""addr:housenumber"":""Ruchit flats"",""addr:postcode"":""380007"",""addr:street"":""Dr. Jivraj Mehta Road"",""name"":""Ruchit Flats"",""operator"":""Abhikalp Owners Assoc.""}",False,72.5461438,23.007513,1,1605729546,8139233244,0.0,,,residential,,apartments,node,,,,,,
"{""addr:city"":""Ahmedabad"",""addr:postcode"":""380061"",""addr:street"":""Ravishankar Maharaj Road"",""name"":""Sambhavi Apartments""}",False,72.539578,23.0713102,1,1607174993,8196333041,0.0,,,residential,,apartments,node,,,,,,
"{""addr:city"":""Ahmedabad"",""addr:street"":""Vandemataram Road"",""name"":""Vandemataram Icon""}",False,72.547552,23.0975425,1,1607176295,8196383750,0.0,,,residential,,apartments,node,,,,,,
"{""addr:city"":""Ahmedabad"",""addr:housenumber"":""Avichal Park"",""addr:postcode"":""382424"",""addr:street"":""Bh/ Satyamev Hospital"",""name"":""Avichal Park""}",False,72.5785461,23.1191796,1,1632497572,9120524223,0.0,,,residential,,apartments,node,,,,,,
"{""addr:city"":""Ahmedabad"",""addr:postcode"":""382421"",""addr:street"":""Shantigram, Nr. Vaishnodevi Circle, S.G Highway"",""name"":""The Storeys"",""website"":""https://thestoreys.in/""}",False,72.526586,23.1701591,2,1689767383,10905054224,0.0,,,residential,,apartments,node,,,,,,
"{""name"":""Hariom Bungalows""}",False,72.5943537,23.1091252,1,1686061473,10959671663,0.0,,,residential,,apartments,node,,,,,,
"{""addr:city"":""Ahmedabad"",""addr:district"":""Ahmedabad"",""addr:postcode"":""382330"",""name"":""Shyam Elegance""}",False,72.6597701,23.1073065,1,1701320711,11384955028,0.0,,,residential,,apartments,node,,,,,,
"{""addr:city"":""Ahmedabad"",""addr:postcode"":""382424"",""addr:street"":""New CG Road, Chandkheda"",""name"":""Sakal Residency"",""official_name"":""Sakal Residency""}",False,72.5915248,23.1080196,1,1771525974,13582340755,0.0,,,residential,,apartments,node,,,,,,
