lat,visible,version,tags,id,lon,changeset,timestamp,addr:city,addr:country,addr:full,addr:housenumber,addr:housename,addr:postcode,addr:place,addr:street,email,name,opening_hours,operator,phone,ref,url,website,amenity,atm,bank,bicycle_parking,bicycle_rental,bar,biergarten,building,building:levels,cafe,drinking_water,fast_food,fountain,fuel,internet_access,landuse,office,parking,police,post_office,restaurant,school,social_facility,source,start_date,taxi,wikipedia,agrarian,alcohol,bag,books,butcher,clothes,computer,craft,furniture,gas,hairdresser,kitchen,massage,medical_supply,motorcycle,organic,outdoor,pet,religion,second_hand,shoes,shop,swimming_pool,trade,wholesale,attraction,camp_site,guest_house,hostel,information,museum,tourism,viewpoint,zoo,osm_type,spa,fireplace,fishing,security,water
23.0116557,False,3,,631801188,72.5687622,0.0,1286630838,,,,,,,,,,,,Bank Of India,,,,,atm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0323231,False,6,"{""brand"":""Indian Bank"",""brand:wikidata"":""Q2003789"",""brand:wikipedia"":""en:Indian Bank"",""name:en"":""Indian Bank""}",1746678859,72.511317,0.0,1716271362,,,,,,,,,,Indian Bank,,,,,,https://www.indianbank.in/,bank,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0263264,False,2,"{""brand"":""State Bank of India"",""brand:wikidata"":""Q1340361"",""brand:wikipedia"":""en:State Bank of India"",""operator:wikidata"":""Q1340361"",""operator:wikipedia"":""en:State Bank of India"",""short_name"":""SBI""}",1746708885,72.5077538,0.0,1632407478,,,,,,,,,,State Bank of India,,State Bank of India,,,,,atm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0458191,False,6,"{""brand"":""State Bank of India"",""brand:wikidata"":""Q1340361"",""brand:wikipedia"":""en:State Bank of India"",""drive_through"":""no"",""short_name"":""SBI""}",1779126826,72.5523558,0.0,1721224773,,,,,,,,,,"State Bank of India, St. Xavier's School Road Branch",,,,,,,bank,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0047261,False,5,"{""brand:wikidata"":""Q2003789"",""brand:wikipedia"":""en:Indian Bank"",""name:en"":""Indian Bank""}",1781763048,72.5645714,0.0,1556963405,,,,,,,,,,Indian Bank,,,,,,https://www.indianbank.in/,bank,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0471515,False,6,"{""brand"":""Central Bank of India"",""brand:wikidata"":""Q2007090"",""brand:wikipedia"":""en:Central Bank of India"",""name:en"":""Central Bank of India""}",1830548403,72.5527534,0.0,1574357794,,,,,,,,,,Central Bank of India,,,,,,https://www.centralbankofindia.co.in,bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0453324,False,1,,1830570013,72.5517832,0.0,1342689850,,,,,,,,,,Kalupur Commercial Co-operative Bank,,,,,,,bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0058514,False,4,"{""brand:wikidata"":""Q2003797"",""brand:wikipedia"":""en:Bank of Baroda"",""name:en"":""Bank of Baroda"",""short_name"":""BoB""}",2034596325,72.5910422,0.0,1556963417,,,,,,,,,,Bank of Baroda,,,,,,http://www.bankofbaroda.com,bank,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0899418,False,3,"{""fee"":""Free For 5 Trasaction""}",2211711828,72.5657014,0.0,1577187890,,,,,,,,,,,,State Bank of India,,,,,atm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0406536,False,2,,3204931795,72.5713107,0.0,1418725660,Ahmedabad,,,,,,,Ashram Road,,Ahmedabad District Cooperative Bank,Mo-Sa 09:30-16:00,Ahmedabad Distrcit Cooperative Bank Society,,,,,bank,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0245389,False,5,"{""brand"":""State Bank of India"",""brand:wikidata"":""Q1340361"",""brand:wikipedia"":""en:State Bank of India""}",3235855839,72.579428,0.0,1623945576,Ahmedabad,,,,,,,,,"The State Bank of India, Ahmedabad Office",,State Bank of India,,,,,bank,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0337365,False,1,,3242226331,72.5608865,0.0,1418977064,Ahmedabad,,,,,380009,,,,Citibank,,,,,,,bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0328329,False,2,"{""brand"":""The State bank of India"",""brand:wikidata"":""Q1340361""}",3242226333,72.5598654,0.0,1498487736,,,,,,,,,,"The State Bank of India, Ahmedabad Office",09:30-15:30,The State Bank of India,,,,,bank,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0331142,False,5,"{""brand:wikidata"":""Q2040404"",""brand:wikipedia"":""en:Kotak Mahindra Bank"",""name:en"":""Kotak Mahindra Bank""}",3242235763,72.5599842,0.0,1778353763,,,,,,,,,,Kotak Mahindra Bank,,,,,,https://www.kotak.com/,bank,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0274353,False,5,"{""brand"":""Central Bank of India"",""brand:wikidata"":""Q2007090"",""brand:wikipedia"":""en:Central Bank of India"",""name:en"":""Central Bank of India""}",3306683244,72.5809242,0.0,1623945576,,,,,,,,,,Central Bank of India,,,,,,https://www.centralbankofindia.co.in,bank,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0137058,False,2,,3306683248,72.559847,0.0,1526751469,,,,,,,,,,HDFC Bank Paldi Branch,,,,,,,bank,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.026296,False,1,,3306683249,72.5819103,0.0,1422052042,,,,,,,,,,HDFC Bank Relief Road Branch,,,,,,,bank,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0388835,False,2,"{""brand"":""Yes Bank"",""brand:wikidata"":""Q2040394"",""operator:wikidata"":""Q2040394""}",3306683611,72.5880366,0.0,1716372522,,,,,,,,,,,,Yes Bank,,,,,atm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0835179,False,4,"{""brand"":""HDFC"",""brand:wikidata"":""Q631047"",""brand:wikipedia"":""en:HDFC Bank"",""short_name"":""HDFC""}",3500459657,72.5909029,0.0,1537291936,,,,,,,,,,HDFC Bank,,,,,,https://www.hdfcbank.com,bank,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0834501,False,1,,3500459659,72.5888148,0.0,1430895044,,,,,,,,,,Gol Bank,,,,,,,bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
