lat,visible,version,tags,id,lon,changeset,timestamp,addr:city,addr:country,addr:full,addr:housenumber,addr:housename,addr:postcode,addr:place,addr:street,email,name,opening_hours,operator,phone,ref,url,website,amenity,atm,bank,bicycle_parking,bicycle_rental,bar,biergarten,building,building:levels,cafe,drinking_water,fast_food,fountain,fuel,internet_access,landuse,office,parking,police,post_office,restaurant,school,social_facility,source,start_date,taxi,wikipedia,agrarian,alcohol,bag,books,butcher,clothes,computer,craft,furniture,gas,hairdresser,kitchen,massage,medical_supply,motorcycle,organic,outdoor,pet,religion,second_hand,shoes,shop,swimming_pool,trade,wholesale,attraction,camp_site,guest_house,hostel,information,museum,tourism,viewpoint,zoo,osm_type,spa,fireplace,fishing,security,water
23.0085819,False,4,,440305869,72.5432503,0.0,1600364457,,,,,,,,,,Jivraj Mehta Hospital,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0140283,False,3,"{""healthcare"":""hospital""}",440310550,72.5645993,0.0,1781892584,,,,,,,,,,Paldi Bus Stand,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0487566,False,5,"{""addr:district"":""Ahmedabad"",""addr:state"":""Gujarat"",""contact:phone"":""9825181745""}",440320413,72.5312683,0.0,1600364843,,,"Sterling Hospital Building, Off Gurukul Road, B/H. Drive In Cinema, Memnagar",,,380054,,,,Sterling Hospital Div. Of Addlife Medical Institute Pvt. Ltd.,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0924908,False,3,,611572691,72.5917525,0.0,1600365332,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0173915,False,6,"{""addr:district"":""Ahmedabad"",""addr:state"":""Gujarat"",""healthcare"":""hospital""}",761305685,72.5304396,0.0,1628800876,,,"132 Ft. Ring Road, Nr Shyamal Char Rasta, Opposite Someshver Jain Temple",,,380001,,,,"Medilink Hospital, Ahmedabad",,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.1039413,False,3,,1349429248,72.5679365,0.0,1600364511,,,,,,,,,,Health Center,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0033217,False,4,"{""addr:district"":""Ahmedabad"",""addr:state"":""Gujarat"",""emergency"":""yes""}",1781762768,72.5639517,0.0,1600365682,,,"P.N.House, Near Shantivan Bus Stand,Narayan Nagar Road,Behind Nid, Paldi",,,380007,,,,Ahmedabad Institute Of Medical Services (Aims),,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0090048,False,3,,1781764967,72.56227,0.0,1600364679,,,,,,,,,,Shushtrut Hospital,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0368587,False,3,,3293760662,72.5699511,0.0,1600365419,,,,,,,,St. Xavier's College Road,,saviour annexe hospital,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
23.0836049,False,3,,3500454471,72.5901213,0.0,1600364895,Ahmedabad,,,,,380005,,,,Geeta Maternity Hospital,,"Geeta Agarwal, Ashok Agarwal",,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,,,,,
