name,competitor_type,sub_category,lat,lon,visible
Brainobrain Vejalpur,schools,General Educational School,22.98318,72.40045,True
Apple Global School,schools,International School,22.98897,72.41819,True
Ratanpura primary school,schools,Primary & Pre-School,22.96771,72.42354,True
Pilupura primary school,schools,Primary & Pre-School,22.9013,72.42432,True
SVM International School,schools,International School,22.91424,72.42378,True
Om tution classes,schools,Coaching & Entrance Institute,22.91636,72.42402,True
SSGS Preschool BAVLA,schools,Primary & Pre-School,22.95165,72.42979,True
Kali Talavdi Prathmik School,schools,Primary & Pre-School,22.90551,72.43544,True
Pradip Overseas Pvt. Ltd.,schools,General Educational School,22.91812,72.44061,True
Changodar Primary School,schools,Primary & Pre-School,22.93053,72.44731,True
SHRI KID'S PRE School,schools,Primary & Pre-School,22.92594,72.44576,True
Dholeshwar Primary School,schools,Primary & Pre-School,22.92434,72.44552,True
MICA,schools,College & University,22.99823,72.44228,True
"Chinar 3, MICA",schools,College & University,22.99784,72.44235,True
Mudra Institute Of Communications Ahmedabad,schools,College & University,22.998,72.44247,True
Government secondary and higher secondary school- hariyavad juvanpur,schools,Secondary & High School,22.9648,72.44925,True
Jivanpura Prathmik Shala,schools,Primary & Pre-School,22.96419,72.44666,True
Navapura Primary School,schools,Primary & Pre-School,22.94817,72.4484,True
Bambini - ELC,schools,General Educational School,22.98477,72.45668,True
Hyderabadi Nursery Showroom,schools,Primary & Pre-School,22.9881,72.45558,True
Fangdi primary school,schools,Primary & Pre-School,22.93889,72.45726,True
Tajpur Primary School,schools,Primary & Pre-School,22.90315,72.45109,True
Fablab India,schools,General Educational School,22.99756,72.46337,True
A Rising Sun Preschool,schools,Primary & Pre-School,22.99728,72.4643,True
Hitech Institute of Security & Safety Management Pvt Ltd,schools,General Educational School,22.99722,72.46469,True
Math Tuition Classes Cuemath,schools,Coaching & Entrance Institute,22.99524,72.46587,True
Sheetal Nursery and farm,schools,Primary & Pre-School,22.99726,72.46712,True
Smt N M Padalia Pharmacy College,schools,College & University,22.94954,72.46603,True
Shantipura Primary School,schools,Primary & Pre-School,22.98807,72.46953,True
RA Academy,schools,General Educational School,22.99455,72.46915,True
Math Tuition Classes Cuemath,schools,Coaching & Entrance Institute,22.99386,72.46941,True
Collegely,schools,College & University,22.9943,72.47052,True
Hyderabadi Nursery Showroom,schools,Primary & Pre-School,22.98748,72.46982,True
"Smt N M Padalia Pharmacy College, Ahmedabad",schools,College & University,22.98768,72.47181,True
