construction,disused,light_rail,monorail,railway,station,subway,id,timestamp,version,tags,osm_type
,,,,rail,,,29340509,1738577702,15,"{""visible"":false,""bridge"":""yes"",""electrified"":""contact_line"",""frequency"":""50"",""gauge"":""1676"",""historic:gauge"":""1000"",""layer"":""1"",""passenger_lines"":""1"",""usage"":""main"",""voltage"":""25000""}",way
,,,,rail,,,29340510,1738577702,14,"{""visible"":false,""electrified"":""contact_line"",""frequency"":""50"",""gauge"":""1676"",""historic:gauge"":""1000"",""passenger_lines"":""1"",""usage"":""main"",""voltage"":""25000""}",way
,,,,rail,,,29340511,1738577702,15,"{""visible"":false,""bridge"":""yes"",""electrified"":""contact_line"",""frequency"":""50"",""gauge"":""1676"",""historic:gauge"":""1000"",""layer"":""1"",""passenger_lines"":""1"",""usage"":""main"",""voltage"":""25000""}",way
,,,,rail,,,29352245,1678728663,10,"{""visible"":false,""bridge"":""yes"",""electrified"":""contact_line"",""frequency"":""50"",""gauge"":""1676"",""layer"":""2"",""passenger_lines"":""2"",""usage"":""main"",""voltage"":""25000""}",way
,,,,rail,,,29362765,1662018372,8,"{""visible"":false,""bridge"":""yes"",""electrified"":""contact_line"",""frequency"":""50"",""gauge"":""1676"",""layer"":""1"",""passenger_lines"":""2"",""usage"":""main"",""voltage"":""25000""}",way
,,,,rail,,,29362783,1722421900,8,"{""visible"":false,""bridge"":""yes"",""gauge"":""1676"",""layer"":""1"",""name"":""Deen Dayal Bridge"",""passenger_lines"":""1"",""usage"":""branch""}",way
,,,,rail,,,29362910,1620934297,6,"{""visible"":false,""bridge"":""yes"",""electrified"":""contact_line"",""frequency"":""50"",""gauge"":""1676"",""passenger_lines"":""2"",""usage"":""main"",""voltage"":""25000""}",way
,,,,rail,,,29373675,1722420788,5,"{""visible"":false,""bridge"":""yes"",""electrified"":""contact_line"",""frequency"":""50"",""gauge"":""1676"",""layer"":""1"",""passenger_lines"":""1"",""usage"":""main"",""voltage"":""25000""}",way
,,,,rail,,,29493002,1722420788,6,"{""visible"":false,""bridge"":""yes"",""electrified"":""contact_line"",""frequency"":""50"",""gauge"":""1676"",""layer"":""1"",""passenger_lines"":""1"",""usage"":""main"",""voltage"":""25000""}",way
,,,,rail,,,62333026,1722421900,6,"{""visible"":false,""bridge"":""yes"",""gauge"":""1676"",""layer"":""1"",""passenger_lines"":""1"",""usage"":""branch""}",way
