version,visible,lon,timestamp,tags,changeset,lat,id,natural,water,wetland,osm_type,grassland,reef
19,,,1618003081,"{""visible"":false}",,,29328587,water,river,,way,,
11,,,1618003081,"{""visible"":false}",,,29329061,water,canal,,way,,
14,,,1618003081,"{""visible"":false}",,,29329273,water,canal,,way,,
9,,,1618003081,"{""visible"":false}",,,29329527,water,canal,,way,,
7,,,1618003081,"{""visible"":false}",,,29329538,water,canal,,way,,
14,,,1696879081,"{""visible"":false,""intermittent"":""no"",""name"":""Kankaria Lake"",""wikidata"":""Q16384"",""wikimedia_commons"":""Category:Kankaria Lake"",""wikipedia"":""en:Kankaria Lake""}",,,29340465,water,lake,,way,,
19,,,1643240799,"{""visible"":false}",,,29349715,water,river,,way,,
5,,,1346428795,"{""visible"":false}",,,29349768,water,,,way,,
14,,,1666010238,"{""visible"":false}",,,29349855,water,river,,way,,
29,,,1772032143,"{""visible"":false}",,,29350057,water,river,,way,,
1,,,1230574470,"{""visible"":false,""created_by"":""Potlatch 0.10f""}",,,29351890,water,,,way,,
2,,,1418706570,"{""visible"":false,""name"":""Chandola Lake""}",,,84639247,water,,,way,,
3,,,1634603955,"{""visible"":false,""name"":""Chandola Lake"",""wikidata"":""Q16890151"",""wikipedia"":""en:Chandola Lake""}",,,84639248,water,,,way,,
3,,,1678778082,"{""visible"":false,""name"":""Sarkej Roza""}",,,85209269,water,,,way,,
3,,,1648846687,"{""visible"":false}",,,135070017,water,,,way,,
1,,,1319822960,"{""visible"":false,""source:position"":""Bing Imagery 2011"",""source:tracer"":""scanaerial"",""source:zoomlevel"":""16""}",,,135070019,water,,,way,,
9,,,1690489328,"{""visible"":false,""name"":""Vastrapur Lake""}",,,135070029,water,lake,,way,,
2,,,1342858118,"{""visible"":false,""source:position"":""Bing Imagery 2011"",""source:tracer"":""scanaerial"",""source:zoomlevel"":""16""}",,,135070035,water,,,way,,
1,,,1324112686,"{""visible"":false,""source:position"":""Bing Imagery 2011"",""source:tracer"":""scanaerial"",""source:zoomlevel"":""16""}",,,141607197,water,,,way,,
9,,,1679165999,"{""visible"":false}",,,142616342,water,river,,way,,
2,,,1416419772,"{""visible"":false,""name"":""Asarva Lake""}",,,172374564,water,,,way,,
2,,,1641497291,"{""visible"":false,""addr:city"":""Ahmedabad"",""addr:postcode"":""382415"",""name"":""Odhav Talav"",""name:en"":""Odhav Lake""}",,,172636934,water,,,way,,
1,,,1343121051,"{""visible"":false}",,,172772866,water,,,way,,
3,,,1731468680,"{""visible"":false}",,,172773047,water,,,way,,
1,,,1343121258,"{""visible"":false}",,,172773096,water,,,way,,
1,,,1344249905,"{""visible"":false}",,,174744590,water,,,way,,
2,,,1692047393,"{""visible"":false,""name"":""Thaltej Lake""}",,,174746368,water,lake,,way,,
4,,,1632407478,"{""visible"":false,""name"":""Thaltej Lake""}",,,174746375,water,lake,,way,,
2,,,1429710087,"{""visible"":false}",,,174746386,water,,,way,,
2,,,1429766691,"{""visible"":false}",,,174746387,water,,,way,,
2,,,1535659702,"{""visible"":false,""name"":""Sanathal Lake""}",,,176322583,water,lake,,way,,
2,,,1418706050,"{""visible"":false,""name"":""Isanpur Lake""}",,,177102390,water,,,way,,
2,,,1570041396,"{""visible"":false}",,,177104260,water,,,way,,
3,,,1564061754,"{""visible"":false}",,,177263850,water,,,way,,
2,,,1696019073,"{""visible"":false,""name"":""Memnagar Lake""}",,,180663393,water,,,way,,
1,,,1373152350,"{""visible"":false,""name"":""Shilaj Lake""}",,,229021237,water,,,way,,
2,,,1666808237,"{""visible"":false,""landuse"":""basin"",""name"":""Chandlodia Lake""}",,,297225637,water,lake,,way,,
1,,,1407826362,"{""visible"":false,""name"":""Auda Lake""}",,,297316929,water,lake,,way,,
1,,,1414676117,"{""visible"":false}",,,310366539,water,,,way,,
3,,,1686198616,"{""visible"":false,""name"":""Naroda Lake"",""source"":""bing""}",,,313584708,water,reservoir,,way,,
1,,,1418170939,"{""visible"":false}",,,316612687,water,,,way,,
1,,,1418170939,"{""visible"":false}",,,316612689,water,,,way,,
2,,,1686198616,"{""visible"":false,""name"":""Saijpur Lake""}",,,323234510,water,reservoir,,way,,
3,,,1633166409,"{""visible"":false,""name"":""Mumatpura Lake""}",,,326493488,water,lake,,way,,
1,,,1423222479,"{""visible"":false}",,,326732726,water,,,way,,
2,,,1634603955,"{""visible"":false}",,,326971304,water,,,way,,
4,,,1641790759,"{""visible"":false}",,,336346912,water,lake,,way,,
3,,,1745126643,"{""visible"":false,""name"":""Lotus Pond"",""short_name"":""LP""}",,,340401815,water,lake,,way,,
1,,,1437036603,"{""visible"":false}",,,360829674,water,lake,,way,,
2,,,1744061225,"{""visible"":false}",,,366459075,water,,,way,,
2,,,1744061225,"{""visible"":false}",,,366459076,water,,,way,,
2,,,1744061225,"{""visible"":false}",,,366459081,water,,,way,,
2,,,1744061225,"{""visible"":false}",,,366459082,water,,,way,,
2,,,1744061225,"{""visible"":false}",,,366459087,water,,,way,,
2,,,1744061225,"{""visible"":false}",,,366459107,water,,,way,,
2,,,1744061225,"{""visible"":false}",,,366459111,water,,,way,,
2,,,1744061225,"{""visible"":false}",,,366459126,water,,,way,,
2,,,1744061225,"{""visible"":false}",,,366459134,water,,,way,,
2,,,1744061225,"{""visible"":false}",,,366459138,water,,,way,,
2,,,1744061225,"{""visible"":false}",,,366459142,water,,,way,,
2,,,1628796378,"{""visible"":false,""name"":""Bopal Lake""}",,,366778319,water,lake,,way,,
2,,,1744061225,"{""visible"":false}",,,366778748,water,,,way,,
2,,,1744061225,"{""visible"":false}",,,366778776,water,,,way,,
2,,,1744061225,"{""visible"":false}",,,366778823,water,,,way,,
3,,,1690257208,"{""visible"":false}",,,369050341,water,lake,,way,,
2,,,1730812765,"{""visible"":false}",,,369677549,water,pond,,way,,
5,,,1660901170,"{""visible"":false,""fishing"":""no"",""salt"":""no"",""tidal"":""no""}",,,413809871,water,pond,,way,,
3,,,1635162077,"{""visible"":false,""name"":""Suryajyot Lake""}",,,420550103,water,lake,,way,,
2,,,1634609385,"{""visible"":false,""name"":""Chenpur Lake""}",,,424053785,water,,,way,,
1,,,1465808157,"{""visible"":false}",,,424713830,water,,,way,,
1,,,1465815747,"{""visible"":false}",,,424727309,water,,,way,,
2,,,1634607436,"{""visible"":false}",,,451825414,water,,,way,,
1,,,1478500142,"{""visible"":false}",,,451826306,water,,,way,,
2,,,1479736231,"{""visible"":false}",,,454798783,water,lake,,way,,
1,,,1479728278,"{""visible"":false,""golf"":""water_hazard""}",,,454862685,water,,,way,,
1,,,1479728278,"{""visible"":false,""golf"":""water_hazard""}",,,454862686,water,,,way,,
1,,,1479729755,"{""visible"":false,""golf"":""water_hazard""}",,,454865432,water,,,way,,
1,,,1479729755,"{""visible"":false,""golf"":""water_hazard""}",,,454865433,water,,,way,,
1,,,1479729755,"{""visible"":false,""golf"":""water_hazard""}",,,454865434,water,,,way,,
1,,,1479729755,"{""visible"":false,""golf"":""water_hazard""}",,,454865435,water,,,way,,
1,,,1479729755,"{""visible"":false,""golf"":""water_hazard""}",,,454865436,water,,,way,,
1,,,1479729755,"{""visible"":false,""golf"":""water_hazard""}",,,454865437,water,,,way,,
1,,,1479729756,"{""visible"":false,""golf"":""water_hazard""}",,,454865438,water,,,way,,
1,,,1482726716,"{""visible"":false}",,,461795950,water,pond,,way,,
3,,,1496084172,"{""visible"":false,""addr:city"":""Gandhinagar"",""addr:postcode"":""382424"",""addr:street"":""Serenade Farm, Survey no. 121, Sughad, Near Koba circle""}",,,483688320,water,pond,,way,,
2,,,1691665979,"{""visible"":false,""name"":""Kund""}",,,530535814,water,,,way,,
3,,,1736428583,"{""visible"":false,""intermittent"":""yes""}",,,550891920,water,lake,,way,,
2,,,1693805918,"{""visible"":false}",,,621306280,water,lake,,way,,
3,,,1736428583,"{""visible"":false,""intermittent"":""yes"",""name"":""Sargasan Lake""}",,,655923300,water,lake,,way,,
2,,,1738096283,"{""visible"":false}",,,663649570,water,basin,,way,,
1,,,1549360281,"{""visible"":false}",,,668423637,water,pond,,way,,
1,,,1549361034,"{""visible"":false}",,,668425059,water,pond,,way,,
1,,,1549361611,"{""visible"":false}",,,668426256,water,pond,,way,,
1,,,1549361611,"{""visible"":false}",,,668426258,water,pond,,way,,
1,,,1551430440,"{""visible"":false}",,,673827810,water,pond,,way,,
1,,,1551446951,"{""visible"":false}",,,673883035,water,pond,,way,,
1,,,1552869292,"{""visible"":false,""intermittent"":""no"",""salt"":""no""}",,,677535844,water,pond,,way,,
1,,,1560636474,"{""visible"":false}",,,697465539,water,pond,,way,,
1,,,1560636474,"{""visible"":false}",,,697465540,water,pond,,way,,
1,,,1567610211,"{""visible"":false}",,,721958902,water,pond,,way,,
3,,,1632407478,"{""visible"":false}",,,722140661,water,pond,,way,,
1,,,1577361609,"{""visible"":false}",,,758691086,water,reservoir,,way,,
1,,,1577361609,"{""visible"":false}",,,758691087,water,reservoir,,way,,
1,,,1577361609,"{""visible"":false}",,,758691088,water,reservoir,,way,,
1,,,1577361609,"{""visible"":false}",,,758691089,water,reservoir,,way,,
1,,,1577361609,"{""visible"":false}",,,758691090,water,reservoir,,way,,
1,,,1577361609,"{""visible"":false}",,,758691091,water,reservoir,,way,,
1,,,1577361609,"{""visible"":false}",,,758691092,water,reservoir,,way,,
1,,,1598445939,"{""visible"":false}",,,840909755,wetland,,,way,,
1,,,1598445939,"{""visible"":false}",,,840909756,wetland,,,way,,
1,,,1616688964,"{""visible"":false}",,,922160497,water,pond,,way,,
1,,,1616688964,"{""visible"":false}",,,922160498,water,pond,,way,,
1,,,1622786879,"{""visible"":false,""intermittent"":""yes"",""name"":""Narol Lake""}",,,950270679,water,basin,,way,,
2,,,1693218594,"{""visible"":false,""name"":""Chharodi Lake"",""wikimedia_commons"":""Category:Chharodi Lake"",""wikipedia"":""en:Chharodi Lake""}",,,986289292,water,lake,,way,,
1,,,1633166409,"{""visible"":false,""name"":""Ambli Lake""}",,,988821262,water,lake,,way,,
1,,,1633948554,"{""visible"":false}",,,991912189,water,,,way,,
1,,,1634603955,"{""visible"":false,""name"":""Zundal Lake""}",,,993784183,water,lake,,way,,
2,,,1714975595,"{""visible"":false,""name"":""Gota Lake""}",,,993792327,water,lake,,way,,
2,,,1772032143,"{""visible"":false}",,,996610809,water,,,way,,
1,,,1637325909,"{""visible"":false}",,,1004354574,water,,,way,,
1,,,1638035551,"{""visible"":false}",,,1006791519,water,pond,,way,,
1,,,1638344346,"{""visible"":false}",,,1008019382,water,,,way,,
1,,,1638344935,"{""visible"":false}",,,1008020840,water,,,way,,
1,,,1638344935,"{""visible"":false}",,,1008020841,water,,,way,,
1,,,1638366068,"{""visible"":false}",,,1008100438,water,,,way,,
1,,,1638457956,"{""visible"":false,""alt_name"":""Ghatlodia Lake"",""name"":""Ghatlodiya Lake"",""name:gu"":""\u0A98\u0ABE\u0A9F\u0AB2\u0ACB\u0AA1\u0ABF\u0AAF\u0ABE \u0AA4\u0AB3\u0ABE\u0AB5""}",,,1008655803,water,lake,,way,,
2,,,1736428583,"{""visible"":false,""intermittent"":""yes""}",,,1017007889,water,lake,,way,,
1,,,1641798794,"{""visible"":false}",,,1019925049,water,,,way,,
1,,,1643240799,"{""visible"":false}",,,1025034026,water,,,way,,
1,,,1643564500,"{""visible"":false,""name"":""Ambapur Lake""}",,,1026135343,water,lake,,way,,
1,,,1643564500,"{""visible"":false}",,,1026135355,water,pond,,way,,
1,,,1645387319,"{""visible"":false}",,,1033606001,water,,,way,,
2,,,1692652230,"{""visible"":false}",,,1033606002,water,,,way,,
1,,,1668067817,"{""visible"":false}",,,1111963573,water,,,way,,
1,,,1668074966,"{""visible"":false}",,,1111986043,water,,,way,,
1,,,1668074966,"{""visible"":false}",,,1111986044,water,,,way,,
1,,,1691665979,"{""visible"":false}",,,1196756498,water,pond,,way,,
1,,,1691665979,"{""visible"":false}",,,1196756505,water,,,way,,
1,,,1692047393,"{""visible"":false,""name"":""Vastral Lake""}",,,1198134753,water,lake,,way,,
1,,,1692611980,"{""visible"":false,""name"":""Khoraj Lake""}",,,1200779816,water,lake,,way,,
1,,,1692652229,"{""visible"":false,""name"":""Adalaj Lake""}",,,1200946272,water,lake,,way,,
1,,,1693155731,"{""visible"":false}",,,1202581108,water,lake,,way,,
1,,,1693156814,"{""visible"":false}",,,1202585140,water,lake,,way,,
2,,,1693284491,"{""visible"":false}",,,1202722672,water,pond,,way,,
1,,,1693805917,"{""visible"":false}",,,1204808494,water,,,way,,
1,,,1705237523,"{""visible"":false}",,,1239619340,water,pond,,way,,
1,,,1705237523,"{""visible"":false,""name"":""Jungle Pond""}",,,1239619341,water,pond,,way,,
1,,,1713005126,"{""visible"":false,""name"":""Lotus Pond""}",,,1272180401,water,pond,,way,,
1,,,1713076740,"{""visible"":false}",,,1272460965,water,pond,,way,,
1,,,1713424817,"{""visible"":false}",,,1273603782,water,pond,,way,,
1,,,1713815957,"{""visible"":false}",,,1275046998,water,lake,,way,,
3,,,1715936575,"{""visible"":false,""intermittent"":""yes""}",,,1283855603,water,basin,,way,,
1,,,1715936888,"{""visible"":false}",,,1283879716,water,pond,,way,,
1,,,1715937499,"{""visible"":false}",,,1283881916,water,reservoir,,way,,
1,,,1717329400,"{""visible"":false}",,,1288891874,water,lake,,way,,
1,,,1717738909,"{""visible"":false}",,,1290153167,water,lake,,way,,
1,,,1722062899,"{""visible"":false,""name"":""Ognaj Lake""}",,,1304027700,water,lake,,way,,
1,,,1730812765,"{""visible"":false,""area"":""yes""}",,,1330894779,water,,,way,,
1,,,1736428583,"{""visible"":false,""intermittent"":""yes"",""name"":""Ratanpura lake""}",,,1349775590,water,lake,,way,,
1,,,1742197500,"{""visible"":false,""intermittent"":""yes"",""name"":""Tragad Lake""}",,,1368330303,water,lake,,way,,
1,,,1744061225,"{""visible"":false}",,,1375690864,water,,,way,,
1,,,1744061225,"{""visible"":false}",,,1375690865,water,,,way,,
1,,,1744061225,"{""visible"":false}",,,1375690866,water,,,way,,
1,,,1744976439,"{""visible"":false}",,,1378628240,water,lake,,way,,
1,,,1744976439,"{""visible"":false}",,,1378628242,water,pond,,way,,
1,,,1744976439,"{""visible"":false}",,,1378628243,water,pond,,way,,
1,,,1744976439,"{""visible"":false}",,,1378628244,water,pond,,way,,
1,,,1744976439,"{""visible"":false}",,,1378628245,water,pond,,way,,
1,,,1749865036,"{""visible"":false}",,,1395103922,water,wastewater,,way,,
1,,,1749865036,"{""visible"":false}",,,1395103925,water,wastewater,,way,,
1,,,1752996222,"{""visible"":false}",,,1416039829,water,pond,,way,,
1,,,1765459654,"{""visible"":false}",,,1457782747,water,lake,,way,,
1,,,1772032143,"{""visible"":false}",,,1482917213,water,river,,way,,
1,,,1772032143,"{""visible"":false}",,,1482917214,water,river,,way,,
1,,,1772032143,"{""visible"":false}",,,1482917215,water,,,way,,
1,,,1777930978,"{""visible"":false}",,,1509301524,water,canal,,way,,
1,,,1777931071,"{""visible"":false}",,,1509301622,water,canal,,way,,
1,,,1784214784,"{""visible"":false,""name"":""Jagatpur Lake""}",,,1539775940,water,lake,,way,,
1,,,1319822974,"{""source:position"":""Bing Imagery 2011"",""source:tracer"":""scanaerial"",""source:zoomlevel"":""16"",""type"":""multipolygon"",""members"":[{""member_id"":135070033,""member_type"":""way"",""member_role"":""inner""},{""member_id"":135070026,""member_type"":""way"",""member_role"":""outer""}]}",0.0,,1817071,water,,,relation,,
2,,,1744061225,"{""type"":""multipolygon"",""members"":[{""member_id"":366459043,""member_type"":""way"",""member_role"":""outer""},{""member_id"":366459044,""member_type"":""way"",""member_role"":""inner""}]}",0.0,,5449576,water,,,relation,,
1,,,1638344346,"{""addr:postcode"":""380060"",""name"":""Lapkaman Lake"",""type"":""multipolygon"",""members"":[{""member_id"":1008019381,""member_type"":""way"",""member_role"":""outer""},{""member_id"":1008019383,""member_type"":""way"",""member_role"":""inner""}]}",0.0,,13498663,water,lake,,relation,,
1,,,1718025197,"{""type"":""multipolygon"",""members"":[{""member_id"":1290938416,""member_type"":""way"",""member_role"":""outer""},{""member_id"":1290938415,""member_type"":""way"",""member_role"":""inner""}]}",0.0,,17699329,water,pond,,relation,,
